normalizedName,name,count,amazonLink,affiliateLink,activityIds
work mat,Work mat,13,https://amzn.to/4izC16E,,lan-moveable-alphabet-simple-words|lan-object-beginning-sound-matchin|lan-sandpaper-letters|lan-story-sequencing-cards|lan-threepart-cards|mat-addition-with-number-rods|mat-counting-objects-110|mat-golden-bead-material-introduct|mat-sandpaper-numerals|sen-color-tablets-grading|sen-color-tablets-matching|sen-fabric-matching|sen-sound-cylinders
tray,Tray,6,https://amzn.to/4bSuE7W,,act1|act2|pra-dry-pouring-with-bea|pra-food-preparation-spreading|pra-pouring-liquids|pra-water-pouring-with-s
water,Water,3,,,act1|act2|pra-pouring-liquids
sponge,Sponge,3,https://amzn.to/4idHhgr,,act2|pra-pouring-liquids|pra-table-washing
number cards 1-10,Number cards 1-10,3,https://amzn.to/41ziT1J,,act4|mat-counting-objects-110|mat-number-rods
small tray,Small tray,3,https://amzn.to/4bSuE7W,,cog-simple-puzzles-with-|pra-flower-arranging|pra-pouring-dry-ingredients
basket,Basket,3,https://amzn.to/41CuKw1,,cul-animal-classification|lan-object-beginning-sound-matchin|mat-counting-objects-110
two small pitchers,Two small pitchers,2,https://amzn.to/4hcljJi,,act1|pra-water-pouring-with-s
sponge for spills,Sponge for spills,2,https://amzn.to/4idHhgr,,act1|pra-water-pouring-with-s
small pitcher,Small pitcher,2,https://amzn.to/4hcljJi,,act2|pra-pouring-liquids
two small containers,Two small containers,2,https://amzn.to/4iwOec8,,pra-dry-pouring-with-bea|pra-pouring-dry-ingredients
funnel,Funnel,1,https://amzn.to/4hg8XzR,,act2
small bottles,Small bottles,1,https://amzn.to/4hgXsIu,,act2
color matching cards,Color matching cards,1,https://amzn.to/41CZ9u3,,act3
"small objects (beads, buttons)","Small objects (beads, buttons)",1,https://amzn.to/4hHltbI,,act4
clear tube or paper towel roll,Clear tube or paper towel roll,1,,,cog-ball-drop-tube
small balls that fit inside tube,Small balls that fit inside tube,1,https://amzn.to/4iCmR0p,,cog-ball-drop-tube
blocks to prop tube at an angle,Blocks to prop tube at an angle,1,,,cog-ball-drop-tube
small basket,Small basket,1,https://amzn.to/41CuKw1,,cog-object-basket-matchi
"miniature objects (toy animals, vehicles, household items)","Miniature objects (toy animals, vehicles, household items)",1,https://amzn.to/4bxzpUu,,cog-object-basket-matchi
corresponding picture cards,Corresponding picture cards,1,https://amzn.to/41UYggj,,cog-object-basket-matchi
object permanence box or container with a hole in top,Object permanence box or container with a hole in top,1,https://amzn.to/425OUjf,,cog-object-permanence-bo
small ball,Small ball,1,https://amzn.to/4iCmR0p,,cog-object-permanence-bo
shape sorter or posting box,Shape sorter or posting box,1,https://amzn.to/42aK5oJ,,cog-posting-activities
coin slot box,Coin slot box,1,https://amzn.to/42aK5oJ,,cog-posting-activities
objects that fit through openings,Objects that fit through openings,1,https://amzn.to/42aK5oJ,,cog-posting-activities
pairs of identical objects or picture cards,Pairs of identical objects or picture cards,1,https://amzn.to/42dIcI0,,cog-simple-matching-acti
small tray or mat,Small tray or mat,1,https://amzn.to/4bSuE7W,,cog-simple-matching-acti
simple knobbed puzzles with 1-3 large pieces,Simple knobbed puzzles with 1-3 large pieces,1,https://amzn.to/3ReHF2a,,cog-simple-puzzles-with-
stacking rings toy,Stacking rings toy,1,https://amzn.to/4ho4MCk,,cog-stacking-rings
sorting mats labeled with animal groups,Sorting mats labeled with animal groups,1,https://amzn.to/4bxzpUu,,cul-animal-classification
animal figurines or picture cards,Animal figurines or picture cards,1,https://amzn.to/4bxzpUu,,cul-animal-classification
globe with colored continents,Globe with colored continents,1,https://amzn.to/42dHD0Q,,cul-continent-globe-exploration
optional: continent puzzle map,Optional: continent puzzle map,1,https://amzn.to/4iy7CFM,,cul-continent-globe-exploration
three containers or defined areas on a mat,Three containers or defined areas on a mat,1,https://amzn.to/4bSuE7W,,cul-land-air-and-water-sorting
"labels for land, air, and water","Labels for land, air, and water",1,,,cul-land-air-and-water-sorting
pictures or small objects representing items from each environment,Pictures or small objects representing items from each environment,1,"https://amzn.to/4iRnfIm, https://amzn.to/4hEdITZ, https://amzn.to/4iq0tqW",,cul-land-air-and-water-sorting
small potted plant,Small potted plant,1,,,cul-parts-of-a-plant
parts of a plant cards or puzzle,Parts of a plant cards or puzzle,1,https://amzn.to/41ZegOq,,cul-parts-of-a-plant
optional: three-part cards with labels,Optional: three-part cards with labels,1,https://amzn.to/41ZegOq,,cul-parts-of-a-plant
